step, traffic_light                                             , rl_action, final_action, intervened, region      , reason             , regional_queues                                                                                   , remaining_steps                                                               , active_regions
   1, cluster_1016185040_1016195865_9372174234_9372174235       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   1, cluster_1016185522_1016193644_5237321232_5921362889_#1more,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   1, cluster_1016189230_1016195084_5921362584_9371895544       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   1, cluster_1016191445_1016199645                             ,         3,            3, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   1, cluster_1016191702_1016195035                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   1, cluster_1016191801_1016199119                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   1, cluster_1016192514_4084049672_5921362888                  ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, 1016184376                                                ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, 5237321225                                                ,         0,            0, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, GS_cluster_1016191643_1016191860_1016192269_1016198634    ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016183180_1016185346_1016193503_1016194749       ,         0,            0, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016184252_1016191971                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016184655_1016193545_1016201012_9372174241       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016184997_1016188102_1016195714_5921483463       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016185040_1016195865_9372174234_9372174235       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016185522_1016193644_5237321232_5921362889_#1more,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016189230_1016195084_5921362584_9371895544       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016191445_1016199645                             ,         3,            3, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016191702_1016195035                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016191801_1016199119                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   2, cluster_1016192514_4084049672_5921362888                  ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, 1016184376                                                ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, 5237321225                                                ,         0,            0, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, GS_cluster_1016191643_1016191860_1016192269_1016198634    ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016183180_1016185346_1016193503_1016194749       ,         0,            0, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016184252_1016191971                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016184655_1016193545_1016201012_9372174241       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016184997_1016188102_1016195714_5921483463       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016185040_1016195865_9372174234_9372174235       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016185522_1016193644_5237321232_5921362889_#1more,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016189230_1016195084_5921362584_9371895544       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016191445_1016199645                             ,         3,            3, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016191702_1016195035                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016191801_1016199119                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   3, cluster_1016192514_4084049672_5921362888                  ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, 1016184376                                                ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, 5237321225                                                ,         0,            0, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, GS_cluster_1016191643_1016191860_1016192269_1016198634    ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016183180_1016185346_1016193503_1016194749       ,         0,            0, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016184252_1016191971                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016184655_1016193545_1016201012_9372174241       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016184997_1016188102_1016195714_5921483463       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016185040_1016195865_9372174234_9372174235       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016185522_1016193644_5237321232_5921362889_#1more,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016189230_1016195084_5921362584_9371895544       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016191445_1016199645                             ,         3,            3, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016191702_1016195035                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016191801_1016199119                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   4, cluster_1016192514_4084049672_5921362888                  ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, 1016184376                                                ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, 5237321225                                                ,         0,            0, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, GS_cluster_1016191643_1016191860_1016192269_1016198634    ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016183180_1016185346_1016193503_1016194749       ,         0,            0, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016184252_1016191971                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016184655_1016193545_1016201012_9372174241       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016184997_1016188102_1016195714_5921483463       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016185040_1016195865_9372174234_9372174235       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016185522_1016193644_5237321232_5921362889_#1more,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016189230_1016195084_5921362584_9371895544       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016191445_1016199645                             ,         3,            3, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016191702_1016195035                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016191801_1016199119                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   5, cluster_1016192514_4084049672_5921362888                  ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   6, 1016184376                                                ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   6, 5237321225                                                ,         0,            0, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   6, GS_cluster_1016191643_1016191860_1016192269_1016198634    ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   6, cluster_1016183180_1016185346_1016193503_1016194749       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   6, cluster_1016184252_1016191971                             ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
   6, cluster_1016184655_1016193545_1016201012_9372174241       ,         1,            1, False     ,             ,                    , "First_Agent:0.0,Second_Agent:0.0,Third_Agent:0.0,Fourth_Agent:0.0,Fifth_Agent:0.0"               , "First_Agent:0,Second_Agent:0,Third_Agent:0,Fourth_Agent:0,Fifth_Agent:0"     , 
